,MINERAL_DEPOSIT_NO,DISCOVERY_YEAR,SITE_NO,ZONE_GDA2020,LONGITUDE_GDA2020,LATITUDE_GDA2020,SURVEY_METHOD,COMMODITY_NAME,SIGNIFICANCE,MINERAL,RELATIVE_ABUNDANCE_CODE,MINERAL_TYPE,WEATHERING_PRODUCT,Is_present
326,237,1972.0,209817,53,136.1,-34.14,Map Plot,Lead,MAJOR,Cerussite,RARE,ORE,Y,1
352,245,-,209833,53,136.03,-34.33,Google Earth image,Lead,MINOR,Chrysotile,MINOR,ORE,N,1
471,290,1887.0,209866,53,135.5,-34.49,Google Earth image,Lead,MAJOR,Argentite,RARE,ORE,N,1
607,360,1957.0,210480,53,134.96,-30.92,Map Plot,Lead,MINOR,Galena,RARE,ORE,N,1
713,410,-,210424,53,134.39,-30.78,Google Earth image,Lead,MAJOR,Argentite,RARE,ORE,N,1
800,438,1981.0,210408,53,136.42,-32.65,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,TRACE,ORE,N,1
821,440,1979.0,210390,53,136.28,-33.15,Map Plot,Lead,MAJOR,Argentite,RARE,ORE,N,1
853,455,1979.0,210381,53,136.33,-33.54,Map Plot,Lead,MAJOR,Galena,TRACE,ORE,N,1
861,456,1985.0,210377,53,136.48,-33.66,Controlled AMG/MGA map,Lead,MINOR,Chalcopyrite,TRACE,ORE,N,1
870,457,1985.0,210383,53,136.35,-33.52,Map Plot,Lead,MINOR,Galena,TRACE,ORE,N,1
894,458,1984.0,210507,53,136.38,-33.5,Map Plot,Lead,MINOR,Chalcopyrite,RARE,ORE,N,1
917,467,1908.0,210371,53,136.44,-33.66,Google Earth image,Lead,MAJOR,Argentite,RARE,ORE,N,1
925,468,1887.0,1988112,53,136.44,-33.66,GPS Averaged Position,Lead,MAJOR,Galena,,ORE,U,1
936,472,1979.0,210376,53,136.34,-33.53,Map Plot,Lead,MAJOR,Galena,TRACE,ORE,N,1
1062,567,1977.0,210284,53,136.46,-30.16,Map Plot,Lead,MAJOR,Carbonate,ABUNDANT,GANGUE,N,1
1099,577,1907.0,210263,54,138.13,-30.81,GPS Standalone Navigational,Lead,MINOR,Barite,MINOR,ORE,N,1
1131,579,1947.0,210265,54,138.13,-30.8,GPS Standalone Navigational,Lead,MAJOR,Argentite,RARE,ORE,N,1
1153,580,1872.0,210266,54,138.14,-30.83,GPS Standalone Navigational,Lead,MAJOR,Argentite,TRACE,ORE,N,1
1223,602,-,210234,54,138.35,-30.89,Google Earth image,Lead,MINOR,Malachite,TRACE,ORE,Y,1
1795,3030,1975.0,126509,53,137.52,-32.69,Global Positioning System,Lead,MINOR,Bornite,TRACE,ORE,N,1
1832,3032,1981.0,16239,53,137.36,-31.59,GPS type unknown,Lead,MINOR,Chalcopyrite,MINOR,ORE,N,1
2289,3090,1973.0,374521,53,137.15,-31.43,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MINOR,Argentite,RARE,ORE,N,1
2608,3126,1980.0,374605,53,136.57,-32.69,"Sourced from documents (PLANS, ENV, RB,etc)",Lead,MAJOR,Argentite,RARE,ORE,N,1
2826,3169,1882.0,424958,54,138.57,-30.38,Google Earth image,Lead,MINOR,Argentite,RARE,ORE,N,1
3152,4142,1988.0,477285,54,138.45,-30.67,Google Earth image,Lead,MINOR,Hematite,MAJOR,GANGUE,N,1
3172,4152,1982.0,477295,54,138.38,-30.62,Google Earth image,Lead,MINOR,Hedyphane,TRACE,ORE,Y,1
3178,4154,1973.0,477297,54,138.54,-30.21,Google Earth image,Lead,MAJOR,Galena,MINOR,ORE,U,1
3196,4155,1880.0,477298,54,138.53,-30.21,Google Earth image,Lead,MAJOR,Argentite,RARE,ORE,N,1
3215,4193,1899.0,477336,54,138.36,-30.79,Google Earth image,Lead,MAJOR,Argentite,RARE,ORE,N,1
3261,4230,1885.0,477373,54,138.13,-30.8,GPS Standalone Navigational,Lead,MAJOR,Argentite,TRACE,ORE,Y,1
3277,4235,1907.0,477378,54,138.41,-30.64,Google Earth image,Lead,MINOR,Dolomite,MAJOR,GANGUE,N,1
3334,4310,1860.0,477453,54,138.44,-30.66,Google Earth image,Lead,MINOR,Coronadite,TRACE,ORE,N,1
3346,4311,1983.0,477454,54,138.58,-30.78,Google Earth image,Lead,MINOR,Galena,TRACE,ORE,N,1
3409,4383,1908.0,477526,54,138.57,-30.22,Google Earth image,Lead,MINOR,Calcite,MINOR,GANGUE,N,1
3444,4432,1903.0,477576,54,138.13,-30.8,GPS Standalone Navigational,Lead,MAJOR,Argentite,TRACE,ORE,N,1
