,MINERAL_DEPOSIT_NO,DISCOVERY_YEAR,SITE_NO,ZONE_GDA2020,LONGITUDE_GDA2020,LATITUDE_GDA2020,SURVEY_METHOD,COMMODITY_NAME,SIGNIFICANCE,MINERAL,RELATIVE_ABUNDANCE_CODE,MINERAL_TYPE,WEATHERING_PRODUCT,Is_present
6053,1633,1890.0,239894,54,139.06,-34.44,Digital Image,Limestone,MINOR,Carbonate,ABUNDANT,ORE,N,1
6099,1647,1939.0,239876,54,139.04,-34.44,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
6133,1656,1919.0,239861,54,139.13,-34.38,Digital Image,Limestone,MINOR,Carbonate,TRACE,GANGUE,Y,1
6528,1738,1882.0,239750,54,139.04,-34.52,Google Earth image,Limestone,MAJOR,Carbonate,ABUNDANT,ORE,N,1
6569,1748,1970.0,240886,54,139.01,-34.15,Google Earth image,Limestone,MINOR,,,,,1
6573,1750,1935.0,240883,54,139.05,-34.48,Google Earth image,Limestone,MINOR,Carbonate,ABUNDANT,ORE,N,1
6613,1763,1987.0,241001,54,139.1,-34.42,Google Earth image,Limestone,MINOR,Carbonate,MAJOR,ORE,N,1
10618,3289,2005.0,471060,54,138.05,-34.07,Google Earth image,Limestone,MINOR,,,,,1
10667,3315,1920.0,476457,54,138.66,-34.95,Google Earth image,Limestone,MAJOR,,,,,1
10693,3325,1945.0,476467,54,138.72,-34.85,Google Earth image,Limestone,MAJOR,,,,,1
10695,3327,1920.0,476469,54,138.73,-34.84,Google Earth image,Limestone,MINOR,,,,,1
10856,3398,1920.0,476540,54,138.75,-34.88,Google Earth image,Limestone,MINOR,,,,,1
10922,3406,1889.0,476548,54,138.73,-34.9,Google Earth image,Limestone,MINOR,Argentite,RARE,ORE,N,1
10983,3421,1958.0,476563,54,138.74,-34.85,Google Earth image,Limestone,MINOR,,,,,1
11347,3592,1960.0,476735,54,138.77,-34.61,Google Earth image,Limestone,MINOR,,,,,1
11976,3801,1926.0,476944,54,138.93,-33.69,Digital Image,Limestone,MAJOR,,,,,1
