,MINERAL_DEPOSIT_NO,DEPOSIT_NAME,COMMODITY_CODE,COMMODITY_NAME,COMMODITY_CONFIDENCE,SIGNIFICANCE,SITE_NO,EASTING_GDA2020,NORTHING_GDA2020,ZONE_GDA2020,LONGITUDE_GDA2020,LATITUDE_GDA2020,LONGITUDE_GDA94,LATITUDE_GDA94,flag
1364,1600,RODWELL CREEK WEST,Cu,Copper,,MAJOR,239996,312010.69,6102911.46,54,138.9350142,-35.1992125,138.9350038,-35.1991984,0
9686,10613,IRON BARON TOWN,CALI,Calcrete,,MAJOR,2008809,703670.65,6347531.53,53,137.1798366,-32.9916224,137.17982659999998,-32.991608299999996,0
6014,7507,GEMLAKE,GYPS,Gypsum,,MAJOR,830796,349070.61,6043441.49,54,139.3308881,-35.741468499999996,139.33087759999998,-35.7414544,0
2955,3963,MULES YARD,Cu,Copper,,MAJOR,477106,307317.9,6257021.39,54,138.9183303,-33.8094675,138.91832,-33.809453399999995,0
2811,3777,BATTEN,KAO,Kaolin,,MAJOR,476920,256137.54,6303875.63,54,138.3786604,-33.37674439999999,138.37865019999998,-33.3767303,0
10456,11309,IRON SULTAN,Fe,Iron,,MAJOR,2047444,697727.64,6343491.14,53,137.1171386,-33.0291374,137.11712859999997,-33.0291233,0
3618,4723,MIDDLETON,SDST,Sandstone,,MAJOR,477867,290221.64,6068611.55,54,138.6870362,-35.5039235,138.68702580000001,-35.5039094,0
10799,11616,IRVINE LOOKOUT,Mn,Manganese,,MAJOR,2090199,330422.9,6519079.91,54,139.2153774,-31.450603499999996,139.21536719999997,-31.450589500000003,0
7099,8450,KIMBA NO.1,SAND,Sand,,MAJOR,1130491,640220.74,6337841.54,53,136.50247869999998,-33.089009399999995,136.5024688,-33.0889953,0
3512,4621,MCLARTYS LEADER,Bi,Bismuth,,MINOR,477765,297154.22,6115521.64,54,138.7750232,-35.082697499999995,138.7750128,-35.0826834,0
5928,7437,MARZEC,LMST,Limestone,,MAJOR,830170,307790.7,6069121.49,54,138.88074519999998,-35.5028865,138.88073480000003,-35.5028724,0
789,801,THREE BLOCKS,Ag,Silver,,MINOR,210098,404171.5,6402656.92,54,139.97980619999998,-32.5092505,139.9797958,-32.5092365,1
8293,9383,JONES SHAFT,Au,Gold,,MAJOR,1765916,320660.54,6370641.76,54,139.0849283,-32.787547499999995,139.084918,-32.787533399999994,0
2700,3671,ROESLER,SAND,Sand,,MAJOR,476814,308830.65,6171951.56,54,138.91587919999998,-34.576451500000005,138.9158688,-34.5764374,0
466,471,SIMMS AND BRADLEY,Cu,Copper,,MAJOR,210370,638460.68,6276581.5,53,136.4930316,-33.6416044,136.49302169999999,-33.6415903,0
4916,6296,WILSON AND PARTY,Ag,Silver,,MINOR,479442,273354.56,6392836.69,54,138.5855124,-32.578770500000005,138.58550219999998,-32.5787564,1
10507,11355,NUCCALEENA SOUTH,Cu,Copper,,MAJOR,2057852,261984.01,6571793.36,54,138.5081245,-30.963372399999997,138.5081144,-30.9633583,0
6754,8167,BAKER,GYPS,Gypsum,,MAJOR,939214,619220.76,6260671.54,53,136.2877557,-33.7873964,136.2877458,-33.7873823,0
3065,4120,GRUNDY,Bi,Bismuth,,MINOR,477263,249260.86,6066051.5,54,138.2350533,-35.5174805,138.235043,-35.517466399999996,0
10349,11219,TUMBY BAY AIRSTRIP,CALI,Calcrete,,MAJOR,2025523,600136.08,6197317.32,53,136.08893569999998,-34.3606524,136.08892580000003,-34.360638200000004,0
2043,3113,RAMSAYS,Cu,Copper,,MAJOR,374564,706024.69,6520978.54,53,137.1675886,-31.427568400000002,137.16757869999998,-31.4275543,0
6909,8299,WHYALLA RED,SDST,Sandstone,,MAJOR,1076100,738610.6,6343461.55,53,137.5545495,-33.0212124,137.5545395,-33.0211983,0
7047,8424,GULLIVERS,HMIN,Heavy Minerals,,MAJOR,1115546,433053.76,6439001.52,53,134.289829,-32.1835173,134.2898195,-32.1835031,0
5091,6485,YADNAPUNDA,BAR,Barite,,MAJOR,479631,296920.71,6510681.5,54,138.86127040000002,-31.520929499999998,138.8612602,-31.5209154,0
